ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
4239,1.5000000,9.0420000,1.1317685,1.6976527,8.0000000,13.581222
4240,4.0637284,9.0420000,0.46260680,1.8799084,24.000000,45.117802
4241,1.8892973,9.0420000,1.0701157,2.0217668,12.000000,24.261202
4242,2.4478022,9.0420000,0.58437305,1.4304296,11.000000,15.734726
4243,1.8719328,9.0420000,0.99922278,1.8704778,11.000000,20.575256
4244,1.2649111,9.0420000,0.99471839,1.2582303,5.0000000,6.2911515
4245,1.2649111,9.0420000,0.99471839,1.2582303,5.0000000,6.2911515
4246,2.1969174,9.0420000,0.72546311,1.5937826,11.000000,17.531608
4247,2.0615528,9.0420000,0.89875733,1.8528357,12.000000,22.234028
4248,3.3035708,9.0420000,0.52499526,1.7343590,18.000000,31.218463
4249,1.9436506,9.0420000,0.75832649,1.4739218,9.0000000,13.265296
4250,2.2928027,9.0420000,0.72660434,1.6659604,12.000000,19.991525
4251,2.0427529,9.0420000,0.68653227,1.4024158,9.0000000,12.621742
4252,2.1682686,9.0420000,0.81246600,1.7616446,12.000000,21.139735
4253,2.5013885,9.0420000,0.61047667,1.5270393,12.000000,18.324472
4254,2.7339513,9.0420000,0.59620637,1.6299992,14.000000,22.819989
4255,2.7202941,9.0420000,0.64522274,1.7551956,15.000000,26.327934
4256,1.8719328,9.0420000,0.99922278,1.8704778,11.000000,20.575256
4257,1.8856181,9.0420000,0.80572190,1.5192838,9.0000000,13.673554
4258,1.8719328,9.0420000,0.99922278,1.8704778,11.000000,20.575256
4259,1.7670453,9.0420000,0.71359667,1.2609576,7.0000000,8.8267034
4260,2.4049810,9.0420000,1.0456358,2.5147342,19.000000,47.779949
4261,2.3495549,9.0420000,0.80724799,1.8966735,14.000000,26.553429
4262,1.4252193,9.0420000,1.2536512,1.7867279,8.0000000,14.293823
4263,1.5365907,9.0420000,0.80888159,1.2429200,6.0000000,7.4575198
4264,2.9841247,9.0420000,0.71490148,2.1333552,20.000000,42.667103
4265,2.8004464,9.0420000,0.81175616,2.2732796,20.000000,45.465592
4266,2.9287844,9.0420000,0.55662998,1.6302492,15.000000,24.453738
4267,1.7500000,9.0420000,0.83150338,1.4551309,8.0000000,11.641047
4268,1.2857143,9.0420000,1.3479048,1.7330205,7.0000000,12.131143
4269,2.0427529,9.0420000,0.68653227,1.4024158,9.0000000,12.621742
4270,1.9565595,9.0420000,0.66520270,1.3015087,8.0000000,10.412069
4271,1.5452363,9.0420000,0.93316488,1.4419602,7.0000000,10.093721
4272,2.2929920,9.0420000,0.96864583,2.2210972,16.000000,35.537555
4273,1.9436506,9.0420000,0.75832649,1.4739218,9.0000000,13.265296
4274,2.5837533,9.0420000,0.76290070,1.9711472,16.000000,31.538355
4275,1.8027756,9.0420000,0.97941503,1.7656656,10.000000,17.656656
4276,3.9003205,9.0420000,0.41848465,1.6322243,20.000000,32.644485
4277,1.1180340,9.0420000,1.5278875,1.7082301,6.0000000,10.249381
4278,1.4142136,9.0420000,1.1140846,1.5755536,7.0000000,11.028875
4279,2.9699011,9.0420000,0.57741244,1.7148578,16.000000,27.437725
4280,1.6703663,9.0420000,1.0267607,1.7150664,9.0000000,15.435597
4281,1.5000000,9.0420000,1.1317685,1.6976527,8.0000000,13.581222
4282,2.1023796,9.0420000,0.72015811,1.5140457,10.000000,15.140457
4283,1.4142136,9.0420000,1.4323945,2.0257117,9.0000000,18.231405
4284,1.8027756,9.0420000,0.97941503,1.7656656,10.000000,17.656656
4285,4.2933981,9.0420000,0.67346093,2.8914359,39.000000,112.76600
4286,2.1260292,9.0420000,1.0563381,2.2458056,15.000000,33.687085
4287,2.1552193,9.0420000,0.89086219,1.9200034,13.000000,24.960045
4288,1.4142136,9.0420000,1.1140846,1.5755536,7.0000000,11.028875
4289,1.9565595,9.0420000,0.66520270,1.3015087,8.0000000,10.412069
4290,2.1213203,9.0420000,0.70735530,1.5005272,10.000000,15.005272
4291,1.8276427,9.0420000,1.1435332,2.0899701,12.000000,25.079642
4292,4.2532330,9.0420000,0.58066510,2.4697039,33.000000,81.500230
4293,2.3657850,9.0420000,0.79620996,1.8836616,14.000000,26.371262
4294,2.3213980,9.0420000,0.70881377,1.6454389,12.000000,19.745267
4295,2.4009802,9.0420000,0.93868936,2.2537746,17.000000,38.314167
4296,1.1180340,9.0420000,1.5278875,1.7082301,6.0000000,10.249381
4297,2.7783786,9.0420000,0.57729169,1.6039349,14.000000,22.455088
4298,2.2360680,9.0420000,0.82760570,1.8505826,13.000000,24.057574
4299,3.2712322,9.0420000,0.80313979,2.6272568,27.000000,70.935932
4300,1.2649111,9.0420000,0.99471839,1.2582303,5.0000000,6.2911515
4301,4.9862637,9.0420000,0.34567136,1.7236086,27.000000,46.537432
4302,1.8719328,9.0420000,0.99922278,1.8704778,11.000000,20.575256
4303,2.0000000,9.0420000,0.87535219,1.7507044,11.000000,19.257748
4304,1.1180340,9.0420000,1.5278875,1.7082301,6.0000000,10.249381
4305,1.2857143,9.0420000,1.3479048,1.7330205,7.0000000,12.131143
4306,4.0618062,9.0420000,0.65598006,2.6644639,34.000000,90.591773
4307,1.4142136,9.0420000,1.4323945,2.0257117,9.0000000,18.231405
4308,3.7503333,9.0420000,0.45262693,1.6975018,20.000000,33.950037
4309,2.7208046,9.0420000,0.51598451,1.4038930,12.000000,16.846716
4310,1.4252193,9.0420000,1.2536512,1.7867279,8.0000000,14.293823
4311,2.1852941,9.0420000,0.46658244,1.0196198,7.0000000,7.1373389
4312,1.8027756,9.0420000,0.97941503,1.7656656,10.000000,17.656656
4313,1.8788294,9.0420000,0.90172772,1.6941926,10.000000,16.941926
4314,1.6983220,9.0420000,1.2139555,2.0616872,11.000000,22.678560
4315,1.2649111,9.0420000,0.99471839,1.2582303,5.0000000,6.2911515
4316,2.6988399,9.0420000,0.74292469,2.0050348,17.000000,34.085592
