ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
157,5.0185336,9.0420000,0.56873372,2.8542092,45.000000,128.43942
158,6.3638577,9.0420000,0.61306117,3.9014340,78.000000,304.31185
159,4.8992595,9.0420000,0.71611538,3.5084351,54.000000,189.45549
160,6.4661986,9.0420000,0.56335710,3.6427789,74.000000,269.56564
161,5.0871998,9.0420000,0.75027826,3.8168155,61.000000,232.82574
162,3.2085020,9.0420000,0.95853329,3.0754559,31.000000,95.339134
163,5.6944712,9.0420000,0.62823670,3.5774758,64.000000,228.95845
164,3.6623915,9.0420000,0.73566872,2.6943069,31.000000,83.523513
165,3.9384014,9.0420000,0.84138359,3.3137063,41.000000,135.86196
166,6.5300508,9.0420000,0.64197108,4.1921037,86.000000,360.52092
167,4.6236109,9.0420000,0.67003900,3.0979996,45.000000,139.40998
168,16.112384,9.0420000,0.53335919,8.5936880,435.00000,3738.2543
169,8.5658652,9.0420000,0.58565442,5.0166368,135.00000,677.24597
170,5.3400938,9.0420000,0.71438501,3.8148830,64.000000,244.15251
171,4.7259789,9.0420000,0.51306108,2.4247158,36.000000,87.289770
172,4.3461349,9.0420000,0.65721629,2.8563507,39.000000,111.39768
173,4.8618657,9.0420000,0.52518077,2.5533584,39.000000,99.580977
174,6.2468617,9.0420000,0.65255381,4.0764134,80.000000,326.11307
175,5.1123700,9.0420000,0.85251812,4.3583880,70.000000,305.08716
176,7.5460293,9.0420000,0.49751154,3.7542367,89.000000,334.12706
177,4.5025682,9.0420000,0.67514644,3.0398929,43.000000,130.71539
178,7.0537264,9.0420000,0.52459815,3.7003718,82.000000,303.43049
179,6.1538613,9.0420000,0.80691159,4.9656220,96.000000,476.69971
180,6.0339868,9.0420000,0.42838820,2.5848887,49.000000,126.65955
181,5.4320117,9.0420000,0.63647412,3.4573348,59.000000,203.98276
182,5.3120440,9.0420000,0.77835172,4.1346386,69.000000,285.29006
183,4.3183861,9.0420000,0.73396549,3.1695464,43.000000,136.29049
184,4.8283968,9.0420000,0.80555692,3.8895484,59.000000,229.48336
185,7.2933365,9.0420000,0.47274257,3.4478707,79.000000,272.38178
186,5.9764115,9.0420000,0.65947883,3.9413169,74.000000,291.65745
187,9.0905665,9.0420000,0.48147999,4.3769259,125.00000,547.11573
188,3.6032865,9.0420000,0.85806579,3.0918569,35.000000,108.21499
189,3.9950542,9.0420000,0.61825335,2.4699556,31.000000,76.568624
