ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
35,6.9915934,9.0420000,0.62512811,4.3706416,96.000000,419.58159
36,8.2403995,9.0420000,0.41251169,3.3992612,88.000000,299.13498
37,6.0436510,9.0420000,0.68845961,4.1608096,79.000000,328.70396
38,5.3965080,9.0420000,0.73231727,3.9519560,67.000000,264.78105
39,6.9404572,9.0420000,0.47578031,3.3021329,72.000000,237.75357
40,5.4781570,9.0420000,0.74247053,4.0673701,70.000000,284.71591
41,7.1084249,9.0420000,0.66144336,4.7018205,105.00000,493.69115
42,7.9090957,9.0420000,0.48341494,3.8233750,95.000000,363.22063
43,4.4276309,9.0420000,0.79561579,3.5226930,49.000000,172.61196
44,4.9562716,9.0420000,0.71269321,3.5323011,55.000000,194.27656
45,3.7745292,9.0420000,0.71494814,2.6985926,32.000000,86.354963
46,8.3708763,9.0420000,0.38158172,3.1941734,84.000000,268.31057
47,4.7524450,9.0420000,0.76104385,3.6168191,54.000000,195.30823
48,4.8520290,9.0420000,0.71660398,3.4769833,53.000000,184.28012
49,7.8906686,9.0420000,0.44477644,3.5095835,87.000000,305.33376
50,4.9933474,9.0420000,0.72768165,3.6335673,57.000000,207.11333
51,10.567267,9.0420000,0.45323334,4.7894380,159.00000,761.52064
52,5.6159563,9.0420000,0.82759250,4.6477233,82.000000,381.11331
53,8.0139123,9.0420000,0.36676905,2.9392550,74.000000,217.50487
54,6.8886213,9.0420000,0.40918088,2.8186922,61.000000,171.94022
55,6.5118954,9.0420000,0.68308804,4.4481979,91.000000,404.78601
56,6.0861957,9.0420000,0.64449502,3.9225228,75.000000,294.18921
57,4.0838737,9.0420000,0.85885140,3.5074407,45.000000,157.83483
58,6.8544951,9.0420000,0.72490811,4.9688791,107.00000,531.67007
59,12.688151,9.0420000,0.32426292,4.1142969,164.00000,674.74469
60,4.4709019,9.0420000,0.84398691,3.7733827,53.000000,199.98928
61,6.4072629,9.0420000,0.50398591,3.2291702,65.000000,209.89607
62,7.2062907,9.0420000,0.49036173,3.5336891,80.000000,282.69513
63,6.2544897,9.0420000,0.70792233,4.4276929,87.000000,385.20929
64,5.4542637,9.0420000,0.65269112,3.5599495,61.000000,217.15692
65,6.6020155,9.0420000,0.56232550,3.7124816,77.000000,285.86109
66,9.2915689,9.0420000,0.40925595,3.8026299,111.00000,422.09192
67,6.6601265,9.0420000,0.60278781,4.0146430,84.000000,337.23002
68,6.3352605,9.0420000,0.76136413,4.8234401,96.000000,463.05025
69,4.5691295,9.0420000,0.91481745,4.1799194,60.000000,250.79517
70,7.7852136,9.0420000,0.48841840,3.8024415,93.000000,353.62706
71,5.5259218,9.0420000,0.71926636,3.9746097,69.000000,274.24807
72,5.8011761,9.0420000,0.65263013,3.7860223,69.000000,261.23554
73,5.1404737,9.0420000,0.87935999,4.5203269,73.000000,329.98387
74,4.9943335,9.0420000,0.72739432,3.6328498,57.000000,207.07244
75,5.9772511,9.0420000,0.80184354,4.7928202,90.000000,431.35382
76,5.9594722,9.0420000,0.80663497,4.8071186,90.000000,432.64068
