ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
35,39.000000,0.57229789,2.6654371,4.6574296,103.95205,9.0470000
36,51.000000,0.64859410,3.2448651,5.0029211,165.48812,9.0470000
37,28.000000,0.65746506,2.4206969,3.6818640,67.779514,9.0470000
38,87.000000,0.65067973,4.2449084,6.5238062,369.30703,9.0470000
39,64.000000,0.54386851,3.3286031,6.1202349,213.03060,9.0470000
40,117.00000,0.58589000,4.6711739,7.9727832,546.52735,9.0470000
41,85.000000,0.68628484,4.3091015,6.2788821,366.27363,9.0470000
42,83.000000,0.47174893,3.5303647,7.4835669,293.02027,9.0470000
43,36.000000,0.78756250,3.0041307,3.8144665,108.14871,9.0470000
44,21.000000,0.71899216,2.1922839,3.0491068,46.037961,9.0470000
45,96.000000,0.62786256,4.3801902,6.9763520,420.49826,9.0470000
46,63.000000,0.48808154,3.1285387,6.4098689,197.09794,9.0470000
47,78.000000,0.51107064,3.5621551,6.9699859,277.84810,9.0470000
48,34.000000,0.54157187,2.4209876,4.4702980,82.313580,9.0470000
49,59.000000,0.70897815,3.6489465,5.1467686,215.28784,9.0470000
50,170.00000,0.66381075,5.9933779,9.0287449,1018.8742,9.0470000
51,12.000000,0.96667748,1.9215712,1.9878101,23.058855,9.0470000
52,20.000000,0.83710687,2.3085034,2.7577164,46.170067,9.0470000
53,50.000000,0.85455071,3.6878987,4.3155996,184.39494,9.0470000
54,141.00000,0.68350794,5.5386816,8.1033172,780.95411,9.0470000
55,20.000000,1.1762028,2.7364100,2.3264780,54.728200,9.0470000
56,35.000000,0.86365880,3.1019171,3.5916002,108.56710,9.0470000
57,23.000000,0.78066446,2.3906786,3.0623638,54.985607,9.0470000
58,45.000000,0.61129586,2.9590823,4.8406713,133.15870,9.0470000
59,36.000000,0.55877290,2.5304280,4.5285446,91.095407,9.0470000
60,55.000000,0.93340866,4.0424283,4.3308236,222.33355,9.0470000
61,101.00000,0.55158534,4.2110666,7.6344788,425.31773,9.0470000
62,32.000000,0.66499065,2.6026024,3.9137428,83.283276,9.0470000
63,85.000000,0.62390148,4.1085874,6.5853145,349.22993,9.0470000
64,60.000000,0.58028388,3.3290548,5.7369417,199.74329,9.0470000
65,63.000000,0.54553477,3.3075511,6.0629519,208.37572,9.0470000
66,89.000000,0.53445927,3.8911446,7.2805261,346.31187,9.0470000
67,84.000000,0.63950275,4.1350990,6.4661161,347.34832,9.0470000
68,32.000000,0.83084103,2.9091025,3.5013948,93.091280,9.0470000
69,38.000000,0.71125545,2.9331189,4.1238614,111.45852,9.0470000
70,83.000000,0.80568680,4.6136775,5.7263908,382.93523,9.0470000
71,62.000000,0.54573559,3.2817995,6.0135340,203.47157,9.0470000
72,61.000000,0.76755866,3.8605197,5.0296087,235.49170,9.0470000
73,81.000000,0.41363162,3.2656861,7.8951558,264.52058,9.0470000
74,102.00000,0.64067558,4.5608337,7.1187881,465.20504,9.0470000
75,40.000000,0.78229840,3.1560312,4.0343060,126.24125,9.0470000
76,50.000000,0.55117450,2.9617925,5.3736021,148.08962,9.0470000
77,29.000000,0.63213580,2.4156236,3.8213680,70.053083,9.0470000
78,37.000000,0.82220044,3.1118222,3.7847489,115.13742,9.0470000
79,104.00000,0.48727408,4.0163208,8.2424264,417.69736,9.0470000
80,71.000000,0.72083094,4.0361839,5.5993489,286.56906,9.0470000
81,24.000000,0.94467923,2.6864135,2.8437309,64.473925,9.0470000
82,32.000000,0.91744026,3.0569543,3.3320473,97.822539,9.0470000
83,109.00000,0.58997540,4.5243403,7.6686931,493.15310,9.0470000
84,58.000000,0.63635233,3.4275822,5.3862963,198.79977,9.0470000
85,40.000000,0.64857793,2.8736650,4.4307166,114.94660,9.0470000
